Date,Description,Amount,Transaction Type,Category,Account Name
01/02/2018,Peet's Coffee,98.09,debit,Coffee Shops,Platinum Card
01/03/2018,Thai Restaurant,71.32,debit,Restaurants,Savings
01/06/2018,Shell,44.49,debit,Gas & Fuel,Checking
01/06/2018,Peet's Coffee,181.45,debit,Coffee Shops,Checking
01/09/2018,Safeway,66.72,debit,Groceries,Silver Card
01/12/2018,State Farm,156.24,debit,Auto Insurance,Checking
01/12/2018,Starbucks,173.76,debit,Coffee Shops,Checking
01/12/2018,Whole Foods,54.76,debit,Groceries,Checking
01/12/2018,Water Company,22.79,debit,Utilities,Checking
01/14/2018,Direct Deposit,2028.13,credit,Paycheck,Platinum Card
01/16/2018,Electric Company,196.37,debit,Utilities,Platinum Card
01/17/2018,Walmart,159.9,debit,Shopping,Checking
01/19/2018,McDonald's,75.43,debit,Fast Food,Checking
01/20/2018,Local Bar,53.3,debit,Alcohol & Bars,Platinum Card
01/20/2018,Target,189.07,debit,Shopping,Platinum Card
01/21/2018,Barbershop,102.31,debit,Haircut,Checking
01/23/2018,Italian Bistro,35.96,debit,Restaurants,Savings
01/25/2018,Starbucks,56.8,debit,Coffee Shops,Silver Card
01/25/2018,Barbershop,33.86,debit,Haircut,Checking
01/25/2018,Barbershop,73.66,debit,Haircut,Silver Card
01/25/2018,Water Company,141.91,debit,Utilities,Platinum Card
01/25/2018,Starbucks,140.98,debit,Coffee Shops,Platinum Card
01/25/2018,AT&T Internet,152.38,debit,Internet,Silver Card
01/27/2018,Shell,29.14,debit,Gas & Fuel,Savings
01/27/2018,Peet's Coffee,86.91,debit,Coffee Shops,Silver Card
01/28/2018,BP,38.24,debit,Gas & Fuel,Silver Card
01/28/2018,Chipotle,45.8,debit,Fast Food,Savings
01/29/2018,Thai Restaurant,21.55,debit,Restaurants,Savings
02/01/2018,T-Mobile,190.19,debit,Mobile Phone,Savings
02/03/2018,Thai Restaurant,42.15,debit,Restaurants,Platinum Card
02/04/2018,AT&T Internet,29.86,debit,Internet,Savings
02/06/2018,Thai Restaurant,35.41,debit,Restaurants,Savings
02/08/2018,Chipotle,12.93,debit,Fast Food,Savings
02/08/2018,Whole Foods,148.6,debit,Groceries,Silver Card
02/11/2018,Trader Joe's,62.7,debit,Groceries,Savings
02/14/2018,BP,55.02,debit,Gas & Fuel,Silver Card
02/15/2018,Whole Foods,42.93,debit,Groceries,Platinum Card
02/18/2018,Chevron,39.09,debit,Gas & Fuel,Checking
02/18/2018,Subway,33.88,debit,Fast Food,Platinum Card
02/19/2018,Thai Restaurant,12.07,debit,Restaurants,Checking
02/20/2018,Shell,59.08,debit,Gas & Fuel,Savings
02/22/2018,Amazon,72.16,debit,Shopping,Savings
02/23/2018,Shell,45.42,debit,Gas & Fuel,Savings
02/24/2018,Shell,88.26,debit,Gas & Fuel,Silver Card
02/27/2018,Electric Company,184.83,debit,Utilities,Silver Card
03/01/2018,Chipotle,26.37,debit,Fast Food,Checking
03/02/2018,Electric Company,193.32,debit,Utilities,Silver Card
03/04/2018,Local Bar,37.18,debit,Alcohol & Bars,Savings
03/07/2018,Safeway,74.82,debit,Groceries,Savings
03/09/2018,Direct Deposit,2895.97,credit,Paycheck,Platinum Card
03/09/2018,Payroll,2153.75,credit,Paycheck,Silver Card
03/09/2018,McDonald's,77.0,debit,Fast Food,Checking
03/10/2018,Safeway,106.97,debit,Groceries,Silver Card
03/12/2018,Amazon,133.68,debit,Shopping,Platinum Card
03/12/2018,BP,45.2,debit,Gas & Fuel,Platinum Card
03/15/2018,Amazon,89.43,debit,Shopping,Silver Card
03/18/2018,Safeway,140.06,debit,Groceries,Platinum Card
03/21/2018,State Farm,120.57,debit,Auto Insurance,Savings
03/22/2018,AT&T Internet,52.87,debit,Internet,Savings
03/25/2018,Local Bar,83.38,debit,Alcohol & Bars,Silver Card
03/28/2018,Spotify,6.36,debit,Music,Platinum Card
03/28/2018,Electric Company,104.28,debit,Utilities,Platinum Card
03/30/2018,Target,19.04,debit,Shopping,Savings
04/02/2018,Shell,24.95,debit,Gas & Fuel,Platinum Card
04/05/2018,Chipotle,76.97,debit,Fast Food,Checking
04/05/2018,Spotify,75.47,debit,Music,Savings
04/05/2018,Netflix,86.1,debit,Entertainment,Platinum Card
04/06/2018,Chipotle,9.27,debit,Fast Food,Checking
04/09/2018,Chipotle,46.01,debit,Fast Food,Silver Card
04/11/2018,Home Depot,71.58,debit,Home Improvement,Platinum Card
04/13/2018,Whole Foods,146.23,debit,Groceries,Checking
04/14/2018,State Farm,115.63,debit,Auto Insurance,Savings
04/14/2018,Amazon,118.88,debit,Shopping,Savings
04/14/2018,Walmart,199.88,debit,Shopping,Savings
04/16/2018,Target,51.65,debit,Shopping,Checking
04/18/2018,Safeway,95.2,debit,Groceries,Silver Card
04/18/2018,Subway,54.89,debit,Fast Food,Checking
04/18/2018,Spotify,175.04,debit,Music,Platinum Card
04/19/2018,Electric Company,102.55,debit,Utilities,Silver Card
04/20/2018,Subway,19.64,debit,Fast Food,Silver Card
04/22/2018,Water Company,17.73,debit,Utilities,Savings
04/25/2018,Whole Foods,73.8,debit,Groceries,Platinum Card
04/28/2018,Netflix,198.9,debit,Movies & DVDs,Platinum Card
04/30/2018,BP,31.69,debit,Gas & Fuel,Platinum Card
04/30/2018,Sushi Bar,47.61,debit,Restaurants,Checking
05/02/2018,Safeway,58.21,debit,Groceries,Platinum Card
05/05/2018,McDonald's,22.68,debit,Fast Food,Savings
05/05/2018,Local Bar,21.85,debit,Alcohol & Bars,Checking
05/05/2018,Electric Company,96.2,debit,Utilities,Silver Card
05/06/2018,Peet's Coffee,145.03,debit,Coffee Shops,Checking
05/09/2018,Electric Company,173.4,debit,Utilities,Checking
05/10/2018,Walmart,161.46,debit,Shopping,Savings
05/12/2018,Trader Joe's,106.94,debit,Groceries,Platinum Card
05/13/2018,Shell,42.07,debit,Gas & Fuel,Savings
05/15/2018,McDonald's,55.79,debit,Fast Food,Checking
05/17/2018,BP,81.19,debit,Gas & Fuel,Savings
