Date,Description,Amount,Transaction Type,Category,Account Name
01/02/2018,Peet's Coffee,172.3,debit,Coffee Shops,Savings
01/04/2018,AMC Theaters,54.23,debit,Entertainment,Platinum Card
01/06/2018,Home Depot,154.01,debit,Home Improvement,Platinum Card
01/08/2018,Subway,65.55,debit,Fast Food,Savings
01/11/2018,McDonald's,59.79,debit,Fast Food,Checking
01/11/2018,AMC Theaters,42.63,debit,Entertainment,Savings
01/14/2018,Whole Foods,41.15,debit,Groceries,Checking
01/15/2018,Electric Company,81.08,debit,Utilities,Silver Card
01/17/2018,Trader Joe's,75.26,debit,Groceries,Savings
01/18/2018,Amazon,174.21,debit,Shopping,Silver Card
01/20/2018,Electric Company,172.59,debit,Utilities,Checking
01/20/2018,Electric Company,170.91,debit,Utilities,Platinum Card
01/22/2018,Trader Joe's,51.72,debit,Groceries,Checking
01/25/2018,Chipotle,29.68,debit,Fast Food,Savings
01/28/2018,AT&T Internet,133.37,debit,Internet,Platinum Card
01/28/2018,Amazon Video,197.63,debit,Movies & DVDs,Silver Card
01/28/2018,Italian Bistro,71.1,debit,Restaurants,Savings
01/29/2018,McDonald's,21.54,debit,Fast Food,Checking
02/01/2018,Chevron,45.84,debit,Gas & Fuel,Savings
02/04/2018,Chipotle,58.93,debit,Fast Food,Savings
02/07/2018,Trader Joe's,38.61,debit,Groceries,Checking
02/07/2018,Trader Joe's,39.7,debit,Groceries,Checking
02/07/2018,BP,24.44,debit,Gas & Fuel,Checking
02/07/2018,Home Depot,119.68,debit,Home Improvement,Savings
02/10/2018,Amazon Video,37.23,debit,Movies & DVDs,Savings
02/12/2018,Whole Foods,12.49,debit,Groceries,Savings
02/15/2018,Home Depot,154.81,debit,Home Improvement,Silver Card
02/15/2018,Peet's Coffee,127.81,debit,Coffee Shops,Checking
02/16/2018,Electric Company,75.83,debit,Utilities,Platinum Card
02/16/2018,Spotify,47.27,debit,Music,Savings
02/16/2018,Trader Joe's,99.68,debit,Groceries,Checking
02/17/2018,Netflix,29.28,debit,Entertainment,Silver Card
02/20/2018,Verizon,158.97,debit,Mobile Phone,Silver Card
02/20/2018,Barbershop,106.31,debit,Haircut,Silver Card
02/20/2018,Amazon,28.87,debit,Shopping,Silver Card
02/20/2018,Shell,36.48,debit,Gas & Fuel,Platinum Card
02/23/2018,Italian Bistro,72.03,debit,Restaurants,Silver Card
02/26/2018,State Farm,86.55,debit,Auto Insurance,Savings
